,importance
dxy_ret1,0.24551028831534705
dxy_ma5,0.07284675056094787
dxy_ma10,0.02860739924037061
dxy_bb_pos,0.02572781157237371
target_ma10,0.020109401935648752
target_ma5,0.019437872542137427
dxy_ret5,0.01784359054496392
bench_ret1,0.015636863124570913
target_bb_pos,0.015588971614663239
target_ret5,0.014777705430401977
gold_ret1,0.014499354879565251
target_ma20,0.013766931570572082
dxy_ma20,0.013572993028934341
target_ret10,0.010824412358515742
dxy_ret10,0.010070301309122611
target_ret1,0.009697978753110507
vix_ret1,0.009566687841299016
gold_ma5,0.007175203333444026
dxy_rsi14,0.007148458975524338
wti_ret1,0.007105550728869853
target_rsi14,0.006868716788093915
bench_ma5,0.0066067523170863975
tnx_ret1,0.006508247544766898
dxy_ma60,0.006192642604664315
dxy_ret20,0.005518213536117056
target_ret20,0.005308533378669778
target_ma60,0.004968789619666977
vix_ma5,0.004659025009427023
gold_ma10,0.0046444321138751
tnx_atr14,0.004607526070886326
gold_bb_pos,0.004591383987926573
gold_ret5,0.004561006921697803
dxy_ret60,0.004560377336627167
corr_dxy_20,0.0045467552332444415
target_vol5,0.004546212690049245
bench_ma10,0.004388417385349532
dxy_vol5,0.004339669736196898
bench_ret5,0.004178918718176128
wti_vol5,0.004069765309981689
target_ret60,0.0040580768756384765
vix_ma10,0.004041130519249295
corr_wti_60,0.004006020669248035
tnx_vol10,0.003938388833097609
vix_ret5,0.0038809627570269923
corr_dxy_60,0.003838577411538432
corr_vix_20,0.0038011777460961647
vix_vol5,0.0037895511226953673
corr_gold_20,0.003785635788775307
corr_tnx_20,0.0037533099245999784
target_macd,0.0037112026749501954
corr_bench_20,0.0037070447267977978
wti_ret5,0.003681735689835694
bench_ma60,0.003663077852774176
bench_bb_pos,0.0036484906580093366
tnx_ret5,0.003640690609673587
corr_tnx_60,0.0036150167267674145
tnx_vol20,0.0036118707041147323
vix_ret20,0.0035938475361433084
gold_ret60,0.003593271039861926
target_vol10,0.0035689312338862307
corr_wti_20,0.0035569483076986256
vix_vol10,0.0035116339329560623
bench_vol10,0.003507475357736014
wti_vol10,0.003476284223856093
dxy_vol10,0.0034530163857041133
wti_ma10,0.003452308167047502
corr_bench_60,0.0034488709119800246
tnx_vol5,0.0034333880529763467
vix_rsi14,0.0034253211711315263
corr_vix_60,0.003416471545207972
wti_ma5,0.0034001206130048903
gold_ma60,0.0033862929653755086
gold_vol5,0.003371033914186014
vix_vol20,0.003366024898816157
corr_gold_60,0.0033615911764626806
bench_vol5,0.0033416195193970337
gold_ma20,0.003329888614866361
tnx_ret20,0.0033038735888231757
tnx_bb_pos,0.003299356476250355
vix_ret10,0.003297419330200584
tnx_ma5,0.0032915376564550437
bench_ret10,0.003290363423958936
tnx_ret10,0.003289372797986885
bench_atr14,0.0032844336524959403
wti_rsi14,0.0032813409201475617
wti_ret10,0.0032802791734794596
tnx_ma20,0.003262855580518753
bench_ret60,0.0032621600953981803
dxy_vol20,0.0032503018323894405
gold_vol10,0.0032423215893211837
dxy_macd,0.0032401733284916114
gold_macd,0.003227229689497722
bench_macdsig,0.0032244144062302596
tnx_ma10,0.003215983993404658
gold_ret10,0.003210168745526692
bench_vol20,0.0032063061577869505
dxy_atr14,0.0031883370309133572
vix_ret60,0.0031815509713599447
vix_ma60,0.003180312773845238
target_vol20,0.0031755947992717854
vix_macd,0.0031745739970183025
target_atr14,0.003172739774308199
gold_macdsig,0.0031636448423756694
vix_bb_pos,0.003156697431445446
bench_vol60,0.00314838551676503
bench_ma20,0.00313263147044833
gold_rsi14,0.0031231513473037897
wti_bb_pos,0.003120559072680668
target_macdsig,0.00311725765438709
gold_ret20,0.0030744349696682815
vix_vol60,0.003064938513118934
wti_ma20,0.0030562622340763804
gold_vol20,0.003056198243732585
vix_atr14,0.0030531071389636863
gold_atr14,0.0030492255580358723
vix_macdsig,0.0030366468302089828
dxy_macdsig,0.003015725905367509
wti_atr14,0.0029885531689284586
bench_ret20,0.0029672726893011465
wti_ret60,0.002950308278448773
tnx_rsi14,0.002950206072575634
bench_rsi14,0.0029402207979741567
wti_vol20,0.002938625154739335
tnx_macdsig,0.002925504422950664
wti_ma60,0.002919914030704741
wti_vol60,0.0029155905623922075
bench_macd,0.0029110197649732253
target_vol60,0.002903638520546156
wti_ret20,0.002884578855540442
tnx_vol60,0.002865785811696992
tnx_ret60,0.002855412194673526
tnx_macd,0.0028374947174666133
tnx_ma60,0.002836732838965204
wti_macdsig,0.0028261716126971397
gold_vol60,0.0027848756362571473
dxy_vol60,0.0027410195737574286
vix_ma20,0.002702501219194528
wti_macd,0.0026064907404885654
